Experiment: Mar_19_osmo_expt vial 2, Fri Mar 19 17:11:25 2021
10.0168,1610
10.0225,1605
10.0279,1609
10.0335,1610
10.0391,1606
10.0448,1607
10.0502,1612
10.0558,1608
10.0614,1604
10.0668,1609
10.0724,1611
10.0781,1606
10.0837,1607
10.0891,1611
10.0947,1608
10.1004,1606
10.1057,1609
10.1114,1612
10.117,1605
10.1223,1607
10.1281,1613
10.1334,1609
10.1391,1604
10.1447,1611
10.1503,1611
10.1557,1605
10.1614,1606
10.167,1613
10.1723,1608
10.1779,1606
10.1836,1610
10.1892,1608
10.1946,1604
10.2002,1607
10.2059,1611
10.2112,1606
10.2168,1605
10.2225,1610
10.2281,1609
10.2335,1604
10.2392,1609
10.2445,1612
10.2502,1606
10.2558,1605
10.2614,1611
10.2668,1609
10.2725,1605
10.2779,1608
10.2835,1611
10.2892,1605
10.2948,1605
10.3001,1612
10.3058,1606
10.3115,1606
10.3168,1609
10.3224,1610
10.3281,1605
10.3335,1607
