Experiment: Apr29_NP_tst_expt vial 5, Fri Apr 29 15:50:36 2022
12.1016,55043
12.1069,54972
12.1125,54690
12.1182,55069
12.1238,55099
12.1291,55027
12.1347,55065
12.1404,55029
12.146,54968
12.1514,55053
12.157,55045
12.1626,55016
12.1683,55101
12.1736,55103
12.1792,55068
12.1848,55096
12.1905,55093
12.1958,55098
12.2014,55055
12.207,55084
12.2127,54993
12.218,55069
12.2237,55086
12.2293,55051
12.2347,55107
12.2403,55103
12.246,55064
12.2516,54824
12.2569,54950
12.2626,55089
12.2682,55027
12.2736,55073
12.2792,55069
12.2848,55054
12.2904,55040
12.2958,55061
12.3014,55088
12.3071,55025
12.3127,55076
12.318,55047
12.3237,55093
12.3293,55032
12.3349,55070
12.3403,55094
12.3459,55070
12.3515,55091
12.3569,55097
12.3625,55104
12.3681,55112
12.3737,55078
12.3791,55101
12.3847,55105
12.3903,55108
12.396,55081
12.4013,55080
12.407,55107
12.4126,55067
12.4182,55110
12.4236,55075
12.4292,54993
12.4348,55113
12.4405,55106
12.4458,55108
12.4514,55061
12.4571,55103
12.4627,55084
12.468,55106
12.4737,55105
12.4793,55106
12.4847,55107
