Experiment: Feb_8_Batch_expt_zeroed vial 8, Mon Feb  8 17:45:11 2021
7.8161,23154
7.8218,23134
7.8272,23128
7.8328,23149
7.8382,23140
7.8438,23129
7.8495,23106
7.8548,23126
7.8604,23099
7.8661,23093
7.8717,23116
7.8771,23132
7.8828,23111
7.8884,23075
7.8938,23108
7.8994,23072
7.905,23100
7.9104,23103
7.916,23092
7.9217,23074
7.927,23044
7.9327,23117
7.9384,23055
7.9437,23014
7.9494,23100
7.955,23098
7.9604,23052
7.966,23078
7.9716,23074
7.9773,23055
7.9826,23070
7.9882,23037
7.9939,22999
7.9993,23058
8.005,23056
8.0106,23077
8.016,23052
8.0216,23066
8.0272,23045
8.0326,23081
8.0383,23090
8.0439,23045
8.0493,23103
8.0549,23034
8.0606,23053
8.0659,23006
8.0716,23027
8.0773,23012
8.0826,23064
8.0882,23027
8.0939,22965
8.0993,23001
8.1049,22982
8.1106,23003
8.1159,22968
8.1216,22939
8.1272,22976
8.1329,22957
8.1382,22971
8.1439,22993
8.1493,22906
8.1549,22937
8.1605,22990
8.1662,22984
8.1715,23002
8.1772,22964
8.1828,22984
8.1882,22930
8.1938,22915
8.1995,22960
8.2049,22971
8.2105,22955
8.2161,22972
8.2218,22940
8.2271,22991
8.2328,22920
8.2381,22971
8.2438,22941
8.2494,22886
8.2551,22922
8.2605,22911
8.2661,22937
8.2717,22948
8.2771,22942
8.2827,22961
8.2884,22982
8.294,22889
8.2993,22958
8.305,22906
8.3106,22894
8.316,22903
8.3217,22882
8.3273,22925
8.3327,22896
8.3383,22905
8.3439,22879
8.3493,22903
8.3549,22908
8.3606,22883
8.3662,22872
8.3716,22903
8.3772,22870
8.3826,22896
8.3882,22841
8.3939,22842
8.3995,22872
8.4049,22884
8.4104,22890
8.4161,22831
8.4217,22880
8.4271,22877
8.4327,22846
8.4384,22855
8.4437,22792
8.4494,22842
8.455,22847
8.4604,22854
8.466,22817
8.4717,22876
8.4771,22801
8.4827,22794
8.4883,22858
8.4937,22847
8.4993,22789
8.505,22760
8.5106,22788
8.516,22807
8.5216,22837
8.5273,22792
8.5327,22823
8.5383,22810
8.5439,22764
8.5493,22747
8.5549,22787
8.5606,22743
8.5659,22806
8.5715,22866
8.5772,22752
8.5828,22752
8.5882,22746
8.5938,22750
8.5995,22758
8.6048,22764
8.6105,22754
8.6161,22759
8.6215,22723
8.6271,22755
8.6327,22708
8.6383,22731
8.6437,22741
8.6494,22724
8.655,22731
8.6606,22756
8.666,22767
8.6716,22703
8.6773,22816
8.6826,22775
8.6883,22701
8.6939,22739
8.6993,22689
8.7049,22699
8.7106,22728
8.7159,22666
8.7216,22752
8.7272,22679
8.7328,22725
8.7382,22730
8.7438,22690
8.7492,22660
8.7549,22738
8.7605,22679
8.7662,22682
8.7716,22616
8.7772,22728
8.7828,22653
8.7882,22643
8.7938,22640
8.7995,22663
8.8049,22638
8.8105,22617
8.8162,22677
8.8215,22691
8.8272,22660
8.8328,22625
8.8382,22619
8.8438,22608
8.8494,22646
8.8551,22617
8.8605,22623
8.8661,22607
8.8717,22671
8.8771,22626
8.8827,22635
8.8884,22649
8.8937,22713
8.8994,22607
8.905,22689
8.9104,22626
8.9161,22645
8.9215,22656
8.9271,22619
8.9328,22593
8.9384,22583
8.9438,22585
8.9493,22643
8.9549,22621
8.9606,22590
8.966,22562
8.9717,22564
8.9771,22618
8.9828,22590
8.9882,22590
8.9938,22586
8.9995,22601
9.0049,22616
9.0105,22577
9.0162,22584
9.0216,22545
9.0272,22584
9.0328,22590
9.0384,22595
9.0438,22553
9.0494,22557
9.0548,22509
9.0604,22484
9.0661,22533
9.0716,22577
9.077,22532
9.0826,22543
9.0883,22578
9.094,22523
9.0993,22555
9.105,22585
9.1106,22542
9.116,22551
9.1216,22534
9.1272,22547
9.1329,22567
9.1382,22539
9.1438,22590
9.1495,22532
9.1549,22512
9.1605,22484
9.1662,22537
9.1715,22466
9.1772,22479
9.1826,22463
9.1882,22454
9.1938,22483
9.1995,22478
9.2048,22419
9.2105,22519
9.2162,22553
9.2215,22486
9.2271,22489
9.2328,22489
9.2382,22471
9.2438,22499
9.2495,22509
9.2548,22500
9.2605,22465
9.2661,22473
9.2717,22460
9.2771,22495
9.2827,22467
9.2884,22465
9.2938,22488
9.2995,22431
9.3049,22443
9.3105,22498
9.3161,22469
9.3218,22472
9.3271,22490
9.3328,22483
9.3384,22509
9.3438,22463
9.3494,22420
9.3551,22423
9.3604,22442
9.3661,22414
9.3717,22370
9.3771,22424
9.3827,22471
9.3884,22397
9.3938,22458
9.3994,22455
9.4051,22450
9.4104,22395
9.4161,22410
9.4217,22437
9.4271,22467
9.4327,22445
9.4383,22389
9.444,22430
9.4494,22442
9.455,22371
9.4604,22411
9.466,22422
9.4716,22402
9.4773,22393
9.4827,22362
9.4883,22318
9.4939,22393
9.4995,22449
9.505,22358
9.5106,22474
9.5159,22375
9.5216,22301
9.5272,22397
9.5329,22321
9.5382,22365
9.5439,22346
9.5495,22366
9.5549,22360
9.5606,22331
9.5662,22413
9.5716,22339
9.5772,22384
9.5828,22316
9.5882,22330
9.5938,22388
9.5995,22343
9.6049,22374
9.6105,22356
9.6162,22306
9.6218,22321
