Experiment: Apr29_NP_tst_expt vial 7, Fri Apr 29 15:50:36 2022
10.8569,1629
10.8626,1635
10.8682,1630
10.8735,1624
10.8792,1629
10.8848,1633
10.8904,1627
10.8958,1625
10.9014,1632
10.907,1634
10.9126,1628
10.9183,1624
10.9236,1631
10.9292,1633
10.9348,1626
10.9405,1626
10.9458,1631
10.9514,1632
10.9571,1623
10.9624,1626
10.9681,1636
10.9737,1631
10.9793,1622
10.9846,1627
10.9903,1636
10.9959,1631
11.0015,1623
11.0069,1627
11.0125,1633
11.0181,1628
11.0238,1625
11.0291,1631
11.0348,1635
11.0404,1627
11.046,1624
11.0513,1630
11.057,1632
11.0626,1625
11.0682,1625
11.0736,1634
11.0792,1633
11.0848,1625
11.0902,1624
11.0958,1633
11.1015,1634
11.1071,1625
11.1124,1624
11.118,1632
11.1237,1634
11.1293,1627
11.1349,1624
11.1403,1633
11.1458,1635
11.1515,1628
11.1571,1625
11.1624,1630
11.168,1634
11.1736,1625
11.1793,1625
11.1849,1632
11.1902,1634
11.1959,1626
11.2014,1627
11.2071,1632
11.2124,1632
11.2181,1626
11.2237,1627
11.2293,1634
11.2349,1632
11.2402,1624
11.2459,1628
11.2515,1635
11.2571,1631
11.2627,1625
11.268,1628
11.2737,1635
11.2793,1630
11.2847,1623
11.2903,1631
11.2959,1634
11.3015,1630
11.3069,1624
11.3125,1630
11.3181,1634
11.3238,1627
11.3291,1625
11.3347,1632
11.3403,1633
11.346,1627
11.3516,1625
11.3569,1632
11.3625,1634
11.3682,1627
11.3738,1625
11.3791,1633
11.3848,1633
11.3904,1624
11.396,1628
11.4013,1636
11.4069,1630
11.4126,1626
11.4182,1630
11.4238,1635
11.4291,1630
11.4347,1626
11.4404,1628
11.446,1635
11.4513,1629
11.4569,1623
11.4626,1629
11.4682,1633
11.4735,1630
11.4792,1624
11.4847,1626
11.4904,1636
11.496,1633
11.5014,1623
11.507,1627
11.5125,1635
11.5182,1631
11.5238,1626
11.5291,1626
11.5348,1635
11.5404,1633
11.546,1625
11.5513,1625
11.5569,1634
11.5626,1630
11.5682,1625
11.5735,1628
11.5792,1634
11.5848,1629
11.5904,1626
11.5958,1632
11.6014,1632
11.607,1627
11.6127,1626
11.618,1631
11.6236,1632
11.6293,1624
11.6349,1626
11.6403,1634
11.6459,1631
11.6515,1623
11.6569,1625
11.6625,1634
11.6681,1630
11.6737,1625
11.6794,1629
11.6847,1633
11.6903,1631
11.6959,1625
11.7016,1630
11.7069,1634
11.7125,1626
11.7181,1628
11.7238,1631
11.7291,1632
11.7348,1625
11.7404,1625
11.746,1632
11.7514,1632
11.757,1624
11.7626,1626
11.7682,1633
11.7736,1631
11.7792,1626
11.7849,1624
11.7903,1632
11.7959,1630
11.8015,1624
11.8071,1628
11.8124,1635
11.8181,1630
11.8237,1624
11.8293,1630
11.8347,1634
11.8403,1628
11.846,1625
11.8516,1631
11.8569,1633
11.8626,1627
11.8682,1626
11.8738,1632
11.8791,1630
11.8848,1624
11.8904,1631
11.8958,1633
11.9014,1628
11.907,1624
11.9126,1632
11.918,1632
11.9236,1625
11.9293,1626
