Experiment: Feb_26_Turb_expt vial 3, Fri Feb 26 16:54:25 2021
5.8221,54997
5.8277,54994
5.8334,55003
5.8387,54998
5.8444,54997
5.85,54995
5.8556,54995
5.861,54992
5.8666,54996
5.8722,54996
5.8776,54999
5.8832,54992
5.8889,54994
5.8945,55000
5.8998,54993
5.9055,54993
5.9111,54994
5.9167,54993
5.9221,54999
5.9277,54994
5.9333,54996
5.939,54996
5.9443,55001
5.9499,54994
5.9556,54997
5.9612,54988
5.9665,54996
5.9722,54998
5.9778,54997
5.9832,54996
5.9888,54999
5.9944,55001
6.0001,54997
6.0055,54996
6.0111,55001
6.0167,55001
6.0221,55000
6.0277,55001
6.0333,54998
6.039,55000
6.0443,54997
6.0499,54993
6.0556,55002
6.0609,55001
6.0666,54995
6.0722,54999
6.0776,54998
6.0832,54990
6.0889,54997
6.0945,54995
6.0999,54999
6.1055,54999
6.1111,54996
6.1165,55004
6.1221,54998
6.1278,54998
6.1334,54998
6.1387,54997
6.1444,55004
6.15,54998
6.1554,54996
6.161,55002
6.1666,54995
6.1723,54995
6.1776,55000
6.1832,54998
6.1889,55001
6.1943,54995
6.1999,54990
6.2055,54995
6.2111,54997
6.2167,55001
6.2221,54995
6.2277,54992
6.2333,54998
6.239,54993
6.2443,54990
6.2499,54996
6.2555,54989
6.2612,54993
6.2665,54996
6.2721,54993
6.2777,54994
6.2834,55003
6.2887,54995
6.2943,54997
6.3,54993
6.3056,54995
6.3109,54999
6.3166,54997
6.3222,54992
6.3278,55002
6.3332,54994
6.3388,54995
6.3444,55003
6.35,54998
6.3554,54994
6.361,54995
6.3667,54995
6.3723,54998
6.3776,54992
6.3833,54993
6.3889,54996
6.3942,54994
6.3999,54991
6.4055,54994
6.4112,54985
6.4165,54996
6.4221,54996
6.4278,54992
6.4334,54989
6.4387,54991
6.4444,54995
6.45,54993
6.4553,54992
6.461,54990
6.4667,54996
6.4723,54994
6.4777,54995
6.4833,54996
6.4889,54992
6.4943,54995
6.4999,54997
6.5055,54987
6.5109,55000
6.5165,54995
6.5222,54994
6.5278,54996
6.5331,54997
6.5388,54994
6.5444,54991
6.55,54995
6.5554,54986
6.561,54988
6.5666,54993
6.5723,54994
6.5776,54997
6.5832,54994
6.5889,54995
6.5942,54992
6.5998,54987
6.6055,54996
6.6111,54994
6.6167,54992
6.6221,54996
6.6277,54995
6.6333,54996
6.6389,55004
6.6443,54989
6.6499,54986
6.6555,54997
6.6612,54987
6.6665,54990
6.6721,54990
6.6778,54990
6.6831,54995
6.6888,54993
6.6944,54992
6.7001,54996
6.7054,54992
6.711,54995
6.7167,55000
6.722,54993
6.7277,54991
6.7333,54993
6.7387,54990
6.7443,54994
6.7499,54990
6.7556,54997
6.7612,54990
6.7665,54991
6.7722,54995
6.7775,54992
6.7832,54986
6.7888,54993
6.7944,54990
6.7998,54994
6.8054,54989
6.8111,54993
6.8167,54994
6.8221,54996
6.8277,54989
6.8333,54996
6.8389,54992
6.8443,54995
6.8499,54995
6.8555,54995
6.8611,54991
6.8665,54989
6.8721,54991
6.8777,54989
6.8831,54992
6.8887,54994
6.8944,54992
6.9,54994
6.9053,54992
6.911,54996
6.9166,54990
6.9222,54994
6.9276,54996
6.9332,54994
6.9388,54992
6.9445,54993
6.9498,54999
6.9554,54995
6.9611,54993
6.9664,54994
6.972,54996
6.9776,54999
6.9832,54995
6.9888,54995
6.9945,55000
6.9998,54998
7.0054,54995
7.011,54997
7.0166,54998
7.022,54995
7.0276,54999
7.0332,54995
7.0388,54994
7.0444,54999
7.0498,55003
7.0554,55000
7.061,54993
7.0666,54997
7.0722,54997
7.0776,54994
7.0833,54995
7.0888,54998
7.0944,54997
7.0998,54996
7.1054,54998
7.111,54995
7.1166,54993
7.1222,54999
7.1276,54999
7.1332,54997
7.1388,54993
7.1442,54988
7.1498,54992
7.1554,54995
7.1611,54995
7.1667,54984
7.172,54994
7.1776,54986
7.1833,54991
7.1889,54991
7.1942,54989
7.1999,54990
7.2055,54989
7.2111,54987
7.2164,54990
7.2221,54991
7.2277,54986
7.2333,54990
7.2387,54990
7.2443,54987
7.2499,54992
7.2556,54990
7.2609,54988
7.2666,54993
7.2722,54987
7.2775,54992
7.2831,54988
7.2888,54990
7.2944,54990
7.2998,54989
7.3054,54992
7.311,54989
7.3166,54994
7.322,54991
7.3276,54987
7.3333,54995
7.3386,54992
7.3443,54990
7.3499,54995
7.3555,54994
7.3609,54994
7.3665,54993
7.3721,54996
7.3778,54995
7.3831,54997
7.3888,54992
7.3944,54996
7.3998,54998
7.4054,54998
7.411,54999
7.4167,54996
7.422,55000
7.4276,55002
7.4333,54997
7.4389,54994
7.4442,54996
7.4499,54996
7.4555,54999
7.4611,54998
7.4665,54995
7.4721,54999
7.4777,55002
7.4833,54998
7.4887,54996
7.4943,54998
7.4999,54995
7.5053,55000
7.5109,54996
7.5166,54997
7.5222,54998
7.5275,54992
7.5332,55001
7.5388,54990
7.5444,54990
7.5498,54991
7.5554,54993
7.561,54996
7.5667,54994
7.572,54997
7.5776,54997
7.5833,54996
7.5886,54995
7.5943,54993
7.5999,54994
7.6055,54996
7.6109,54996
7.6165,54996
7.6221,54995
7.6275,54995
7.6331,54996
7.6388,54992
7.6444,54993
7.6498,54998
7.6554,54995
7.661,54998
7.6667,54992
7.672,54993
7.6776,54996
7.6833,54990
7.6886,54991
7.6943,54990
7.6999,54996
7.7055,54998
7.7109,54993
7.7165,54994
7.7221,54999
7.7278,54989
7.7331,54996
7.7387,54997
